out_file	out_col	out_header	from_file	from_sheet	from_col	condition	write_mode	flags	status
顧客作品マスタ	B	タイトルNo	(GAS❶生成)	-	-	既存行=既存Noを再利用 / 新規行=max+1。採番はフィルタ後に実行	上書	-	OK
顧客作品マスタ	C	CMS ID	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	CMSID	原文。キーには使わない(逆引き専用)	上書	-	OK
顧客作品マスタ	D	タイトルID	②先行タイトル情報(CMS)	★列追加の場合は増渕まで★	タイトルID	原文。空欄104行・注記混入あり(「ー」「4415行目と同一」)。行照合カスケードの第1・2段のキー	上書	-	OK
顧客作品マスタ	E	素材共有日	(GAS❶生成)	-	-	行をappendした日のみ記入。既存行は空欄でも触らない(write-once)。この列が唯一の原本で、タイトルマスタの同名列はここを写す(2026-09-08確定)	1回	-	要対応 未実装
顧客作品マスタ	F	タイトル区分	⑧出稿コミット管理表	広告出稿必須タイトル	タイトル区分 + タイトル名	タイトル名で結合。1行でも「2.先行配信（出稿コミット）」→コミット、他は全て独占。NFKC後に比較(必須)。空欄にならない	上書	keep	OK
顧客作品マスタ	G	レギュレーション判定状況	①作品レギュレーション判定	シート1	ステータス	H~Jと同じ3段カスケードで行を探し、ステータスを3値に畳む：判定済み→「レギュレーション判定済」/ 行はあるが他ステータス(依頼中・Wチェック待ち・担当者依頼中・再判定依頼・削除・空欄)→「顧客確認中」/ どの段でも行なし→「レギュレーション未判定」。必ず今回の実行結果を映す(上書)ので、H~Jが据え置きの古い判定かどうかを見分ける唯一の手がかり。判定済み以外の行は①②③を供給せず、NG除外にも関与しない(2026-09-08確定)	上書	-	要対応 未実装
顧客作品マスタ	H	①広告出稿ポリシー	①作品レギュレーション判定	シート1	①広告出稿ポリシー（出稿NG）	判定済みの行のみが判定を供給。3段カスケードで結合(cascade-01)：①タイトル名+タイトルID(数値)の両方一致→②タイトル名のみ一致→③タイトルID(数値)のみ一致、最初に一致した段で確定。③はタイトル名が違ってもIDだけで判定を継続する。ヘッダは前方一致で解決。今回判定が取れない行は据え置き(条件書き)＝削除等はしない、その事実はレギュレーション判定状況列に出る	条件	-	OK
顧客作品マスタ	I	②一般面出稿NG	①作品レギュレーション判定	シート1	②一般面出稿NG（アダルト作品扱い）	同上	条件	-	OK
顧客作品マスタ	J	③シーモアロゴ判定	①作品レギュレーション判定	シート1	③シーモアロゴ判定	同上。LP制作列はこの列の「有効値」を見る	条件	-	OK
顧客作品マスタ	K	掲載停止日付	⑤配信停止(顧客Google Drive TSV)	multi_title_yyyyMMdd.tsv	D列(列記号で位置決め)	タイトルID(A列)が両側とも数値のときのみ結合。原文のまま。ID重複は先頭行勝ち。空欄セルのみ記入	1回	-	要確認 ガワK25は取得先を「顧客Google Drive＞配信停止一覧」と明記するが、ガワ仕様整理B11自身が「予定分か過去分か」を未確定としている
